辨識碼,卦序,卦名,組成,建議,運勢,愛情,求職,考試,事業
222111,11,泰,地天,泰卦表示三陽開泰，萬事亨通。雖然一切順利，但建議要留下心眼，對於事情的發展應當防患未然。若過於得意忘形，吉之後很快就會轉為凶。,諸事如意吉祥，前途事業均順利。切不可驕傲或任意從事，亦宜自惕勿太活躍，始能免於災難。凡事宜求內在之實，不求外在之虛，否則有破。,情投意合，良緣。勿任性，以維持吉象，反之則招破。,方向可以，順利完成。,上榜有望，宜再努力勿懈。,上下和氣，打成一片。凡事順利。
111222,12,否,天地,否卦表不好之意。否顯現出陰陽之氣不協調，在人及事方面諸多不被認同。此時應該靜待時機，等待否極泰來，建議可以多注意一下自己在溝通能力上的問題。如果是為人上司，則應該設法放下身段，打破下屬的心結。如果是做人的下屬，則可設法將意見上達。,凶且衰，君子以險德避難，不可榮以祿也。邇勢不通達，諸事不順，有損失且波折多。故宜守固正道，若稍偏差，則災害至也。,陰陽相背，被拒千里之外。,先難後易，須有耐心去爭取勝利，否則凶。,表現不如預期，不甚理想。,最近事業情況可能不太順心，小心為上。
111121,13,同仁,天火,同仁卦表有志一同，相和而成，適合找人合夥事業或尋求認同自己理念。不過在此提醒，與人結盟要有相當的信心和決心，且應注意已身的誠信與氣度，否則半路可能出現的阻礙，不但能讓你半途而廢，甚至惹禍上身。,得此卦為諸事開通、平安、吉祥、如意之象，有同情心，互愛、亨通之象，故宜好好掌握時機，維持盛泰。若有稍涉偏私或為私情之愛則有破兆，應以事業為重。,互悅其情，彼此間謙和以禮互敬，魚之得水，定成美眷。切忌氣盛，宜和。,有良好結果，可寬心，不需要太緊張，繼續努力會讓結果更棒。吉利。,成績優良。達成目標。,需找到貴人幫助才可成功，更應慎防小人相害。
121111,14,大有,火天,大有卦表有很多的收穫。占卜到此卦凡事順心，努力堅持之後的願望都能順利實現。不過得要注意滿招損，謙受益的道理，順風時不要過於囂張，以免招致禍害。,得時得運，隆盛昌榮也。然卦象藏有盛極必衰的預兆，不得不慎，以期保持其全盛之樞紐，可眾望所歸。有走紅、賺錢之勢，須謹慎不可驕縱。,可實現理想之吉象。,求職順利可行。無須壓力過大。,有望有良好表現，成績達成理想目標。,吉星高照，事業順利。
222122,15,謙,地天,謙卦表示謙虛不出風頭的意思，是吉中帶小凶之象。有兩種意象可以解讀，一是謙虛不與人爭，則能保有福氣。另外則是被壓抑之象。不過若是被壓抑了，要知道這是一時的，忍辱負重後，很快就會再意氣風發。,吉利平安，欣欣向榮之象，謙者前途大利，驕者橫行招敗。故以君子謙德，縱涉大川而無險也，卦利君子。正所謂謙受益滿招損也。,以謙恭相追求有成，可獲良緣，反之失利。,找工作順利可成，可寬心。,金榜題名。,功成不居，虛心退讓，久了自能亨通。
221222,16,豫,雷地,豫卦表示高興悅樂之意。可以嘗試用輕鬆的手段來完成嚴肅的事。凡事可盡力去做，無大礙。婚姻、感情，男建、女歡，可得良緣。,此卦象徵萬物欣暢，如意安泰，可得上輩之助。切不能因繁華而怠惰，或沉醉於聲色歡場之中。好運不常有，當好好把握。,一帆風順，天賜良緣。,成功有望，會得長輩或長官提拔賞賜。,金榜題名。,利於建立人脈基礎。適於娛樂業。
211221,17,隨,澤雷,隨卦表示隨遇而安，一切隨緣、隨和。事事均可依隨著自己的心思計畫來執行，而會順利地達成。但切莫把隨緣當隨便，否則事情會敗壞。,物事均有去舊迎新之吉象，凡事與他人互相通達、協商，可名利雙收。倘若三心二意，或獨立單行，不聽人言勸，有自招災禍之虞。,目前重於情慾、經濟，依賴心較重，順著時事、心性而行即可，感情如家人般的結合。,雖是吉卦，但要謹記能謙虛待人，多聽不同意見與接受建言雖吉，會得到賞賜與提拔。,成績理想。,有兩面難以取捨的情況。不要有太大得失心，隨緣就好。
122112,18,蠱,山風,蠱卦表示受到蠱惑、毒害。蠱毒是因內在腐朽而生蟲化毒，顯示問題的根因存在已久，卻未誠實面對處理而導致愈來愈嚴重。所以在奮發向上之前，要先審視自身條件，將根本打穩，再開始行動。,諸事不如意、積弊已深，未能進展，氣運雜亂。逢此宜鼓起勇氣，大膽加以革新，有內憂外患之象。,關係複雜，尤其男人到處留情，苦惱多，終會一刀兩斷。另覓對象可吉。女子若是再婚者，其前夫不良，且已斷緣再嫁。,目前會有困難與挑戰，需要點時間來克服這狀況，不要灰心。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。落榜。,不知所措。應力圖振作，重新規畫打算一翻。
222211,19,臨,地澤,臨卦表示大駕光臨，貴人來到之意，為吉象。臨又為「君王臨幸」之意，是上者對下者之象，近期會有貴人相助。,運勢漸增，諸事亨通如意，前途有望，仕途有成，可得貴人相助。上下安合。以和順可奏大功，宜誠心待人，可諸事順暢，急進或忘形者，有破財之象。,不可急，切忌意氣用事要求，柔順期待者有吉象。,求職方向可以，可順利成功達到目標。,努力有成果，達到目標，金榜題名。,長官督促下屬。持續為宜。
112222,20,觀,風地,觀卦表示觀察、觀看，是個吉凶未定的卦。凡事不可輕下決定，需要再觀察一下局勢再做打算。若是無法接近事情好好觀察，貿然行動，禍事將會接連不斷。另外，對長官、上位者的態度要察言觀色，不可輕忽大意。,處在有危險不穩的時運，耍多觀望時勢之利弊，待機行事，於人事物，須以誠待之，才能感化而倖免陷入困難也。,外表看好，內則虛浮，有上輩提攜可望達成，否則尚處在漂動不穩定的狀態。,不易。困難較多，不容易馬上成功，要有耐心與毅力，等時間成熟即可事成。,表現不如預期，不甚理想。不理想。,用心觀摩長官怎麼做，當能對你有所幫助。
121221,21,噬嗑,火雷,噬嗑卦表示如鯁在喉、難以決策，為吉凶未定卦。凡事雖然能小有獲得，但需要的是一個果斷下決心的態度。建議多方考察，權衡利弊得失後就趕緊向前衝，不要躊躇不前了。,諸事不遂心，多受阻害。有紛爭，無法前進之時，宜常守原則，不為利誘，以免被人中傷。然而一般人多有無法逃避利誘者，故必受禍，若能和氣處事為安。更須突破困難方可通達。,有被人阻礙或橫刀奪愛之事。但勿氣餒，勇往邁進即可成功，否則放棄罷了。,多生枝節，不利。唯有積極去謀求方有所成就。,表現不如預期，不甚理想。仍需要再下苦心，持續努力。但別放棄。不佳。,有困難待解決。
122121,22,賁,山火,賁卦表示美麗的外表裝飾，且常是金玉其外，敗絮其中。最近必須要慎防有心的小人、偽君子。卜得賁卦也只適合做小事，若做大事則過程不會太平順。,卦象是象徵其人外表好看，內在空虛，因此，必須充實自己，凡事深思遠慮，與人和睦相處，能獲得意外利益。切忌因小失大，更無須為了掩飾外觀而造成不必要的損失。凡事踏實，按部就班為是。,不可自視太高，也勿把對方及自己都估計太過，須知華麗的外表並不能決勝負，宜相誠以對，若自視太高反不得所愛。宜慎。,做事方向條件勿過於要求太苛求，方可成功。,不理想。但人家以為你讀得不錯。,做小事可以。大事凶。要注意，不要公私不分。
122222,23,剝,山地,剝卦表示剝落之意。諸事不宜，所有之前的努力可能要重新再來了。但危機可能是轉機，此卦利於重新到外地發展，或另尋對象。,運帶破、帶衰，有不利之災禍，不可抱持野心，自作聰明，否則自掘墳坑。得此卦者，必有與歡場女子耗費餞財而又被陷害之苦惱，且有受部下連累而損財，為不得志之時運也。,卦象陰太盛，故男求女利，女求男不利。口舌多，不可奢望太高。,順而止，要慎機行事，不可粗心大意。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。落榜。,敗壞走下坡，每況愈下。
222221,24,復,地雷,複卦表示重複再來、週而復始之意，吉凶未定的卦象。此卦顯現的是一種循環的狀態，可能是好的循環，也可能是壞的循環。這時候適合休養生息，等待時機。所期待的春天一到，就會百花齊放，有好的結果。,一陽來復，萬事甦伸，不久就會好轉。初時不宜急進，腳踏實地則有一本萬利、開運亨通之象也。,性急則敗，緩可得利。,要戒急用忍，不須躁進，依序前進便可成功。勿太急，可成。,現階段仍要努力付出，多做練習，表現會愈考愈好。,黎明前的黑暗，可靜候佳機。
111221,25,無妄,天雷,無妄卦表示不要有一些不切實際的想法。做事要踏實一些，不要妄想一步登天，則可度過難關。也記得不要一遇到困難就怨天尤人，甚至自暴自棄而胡作非為，事情會變得更糟而無法收拾。,無妄的道理者，乃真實無虛要踏實。故若做事操守而能堅貞固執者吉。若不行正道，行為不檢點者，必然有災禍至也。切忌醉沉於利、慾之中，慎之。,成功與否，須看各人之修為德性而定。然此卦有不順遂、不和，或有被傷害者欲分離之象耳。,,筆試有利，口試不利。,有凶險，但更應循規蹈矩。
122111,26,大畜,山天,大畜卦表示會有很多的積蓄、不動產的來到。可以考慮較大的投資案，且大膽前往會受到重用，不過將難以兼顧家庭和感情，甚至可能離開家鄉。要想清楚現階段的自己究竟需要什麼。,大凡諸事不可好高鶩遠，腳踏實地、務實行事，始能成就大業。以蓄德為主可吉，若因得勢而氣盛凌人，目空一切者，終招失敗之象。,雖有些阻礙，但終有望，然氣盛則自招叛而破。,時機尚未成熟，目標還未能達成，等待時機努力成熟，便會成功。不利。再待時。,有良好結果，達到目標，可放心。上榜。,會受到重用，功成名就。
122221,27,頤,山雷,頤表示養，適合休養生息。凡事以靜為吉，要知道節制，不要貿然下決定。頤又與口有關，因此需要慎防小人口舌之災。,有欠缺考慮、魯莽妄動之害。若有懷陰謀，與人互相猜疑或爭端者更不利。要守正道而善行之，凡事切忌任性非為。,不可傲氣凌人。雖有些阻礙，但此情令人意亂情迷，耍冷靜觀察。因為頤卦為養，即是食，對自己本身之損益，跟自己吃下去的東西，是相對性質的反應。故宜重新估計對方的價值，是益是損？切勿因情誤了自己的青春。,目前阻礙較多，不容易心想事成，挑戰嚴峻，成功較不容易。,表現尚可接受，但可更努力有更佳的表現成果。,需要加強基本的能力。凡事鴨子滑水為宜。可再多充實自己的技能。
211112,28,大過,澤風,大過卦表示犯了一個很大的過錯。即使有能力之人可以獨撐大局而能化解危機，但還是需要努力找出問題之所在，避免事態繼續惡化。另外可以考慮找尋其他的出路，也是一個好的方法。,諸事衰退，多煩惱，恐水難或犯官符。有力不從心，負擔過重之象。逢挫折而將墜落之時運，故得此卦者，凡事切忌經舉妄動，否則有過。,雙方眼光均太高，且各已有相好之人，花心又不實，何需再另談感情之事？無望。,現階段困難很多，容易受挫，但不要灰心，繼續努力。,成績結果不甚滿意，令人苦惱，要更努力才有佳績。,有將無兵，難成大事。
212212,29,坎,水,坎卦表示表陷溺被水淹滅之意。困難必然無法逃避，且隨時可能會被淹滅而破散。此時需要積極的找尋貴人，才會有化險為夷的可能。,危機重重，宜容忍自重，保持心境開朗，沉著應付，則可有脫險之機。吃得苦中苦，方為人上人，凡事莫與人爭長短，否則有不幸災害。,溺於情愛之中，然本身和外圍的困擾和壓力都很大。,目前會有困難與挑戰，需要點時間來克服這狀況，不要灰心。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。不理想。,進退都有困難。
121121,30,離,火,離卦表示智慧、明亮、溫暖。此卦雖吉，但其實是有條件的。若能柔順中庸則吉，反之則不吉。另要注意事情是否外表過於美麗，華而不實；或者人是否流於小聰明，而缺乏圓融的智慧。,雖然目前外觀極盛一切順利，可能為假象、虛象，而且雙火之燃，其內部、內情已有所損，又雙火之烈，如烈日中天，故凡事宜守之，勿太急進，待人以謙和、理性，否則必有所損失。宜順從長輩，勿因急躁而妄動或意氣用事，則可欣欣向榮也。,對方明亮有活力，性急者弄巧成拙，誠靜者其情必有成就。,尊重長輩安排。待時機可獲良好事業。,成績表現良好，有達到預期目標。成績不錯。,適於文學、文創、畜牧等產業。凡事應當走中道。
211122,31,咸,澤山,咸表示感動。此卦與感情有非常大的關係，需要謹慎處理用感情來處事的情況。虛心的傾聽他人而取得共鳴，事情自然可以水到渠成。但如果執意感情用事，則會招致許多禍害。,吉祥如意。但勿為不正當的感情而意亂迷惑，或過於衝動。然得此卦時，會有男貪女愛之箏，非名正者必遭損，宜慎之。,互敬互愛，清清白白者定成眷偶。若名不順而貪愛者，當知懸崖勒馬。,求職能順利，不須要壓力太大。,成績表現良好，努力有成果。成績佳。,多傾聽他人的意見，以同理心做事。
221112,32,恆,雷風,恆卦表示維持不變的跡象。事情發展都會以目前狀況持續一段時間，如果自身是求穩定，此卦是一個好的結果。所有大幅度的變化都不宜在此時行動，不過如果所求為向前衝刺挑戰，那麼這是一個隱含未來障礙重重的卦。,諸事亨通而沒有犯錯方能恆久。其象利於正常固守，並須有毅力持行。雷風者，知守常則吉，妄動者則不能亨通。,順利如意，有美好結果。,找位於東南方向的公司職位，較有利。,成績有良好表現，可達高分紀錄，努力有成果，值得嘉許。,穩定但缺少變化、創新，與成長。
111122,33,遯,天山,遯（ㄉㄨㄣˋ）卦表示退守、退步之意。這段期間凡事都應當要暫緩，因為當中可能會有小人、陰謀在當中作梗。不要一味想著功成名就，躲得越快越遠越好，否則會招致禍害上身。,小人道長，君子須遠離小人，諸事宜守。艮者，止也，言行物事要謹慎，才能得安而運泰。若遇小人之害，見陷於是非之地，勿管閒事，識時務為俊傑。,落花有意，流水無情，適時地另外選擇其他對象吧！,須待時機。時機尚未成熟，繼續努力，等候時機。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。不理想。,無法有成就，只能求明哲保身。
221111,34,大壯,雷天,大壯表示天上打雷、聲勢浩大，行動迅速、積極之象。這個卦象是在提醒你不要過於衝動，不理性的衝動常常會帶來無法挽回的錯誤。儘管有時候理直氣壯是必要的，但還是得冷靜審察情勢，不要逞匹夫之勇，就能夠避免不必要的錯誤與災難。,剛強過盛者，若不思正與順，則有躁動之害耳。雖運勢強大，時至當盛之期，但忌血氣方剛。處事欠思慮而遭破運，宜力持和平、順氣，勿得罪人，否則會因此而招來失敗，切勿貪妄。,有成就，但缺乏仁和謙恭，易遭反悔，須慎之。,可順利。勿太剛強行事。,有好成績，但勿太驕傲。,理直氣壯，據理力爭或可達到目標，到小心因此而造成與人衝突及不和。
121222,35,晉,火地,晉卦表示進取。意象是：「日出於大地、光明乍現」，是陽光即將要照耀大地，欣欣向榮的情景。也就是說你將會受到肯定，各方面都能有不錯的結果。,事業繁榮，聲譽漸高，於人、事、物均獲宏利之際，與人共事者吉。但要知進德虛懷，即是諸凡對人、事宜謹守德操，不可傲溢心懷，否則有破象也。但財運旺。,光明出於地上。柔順而求，可成眷屬。,受人提拔，可有成就。,成績可達目標，上榜，努力有成果。科甲登榜。,受到重用，發揮所長，連升三級，升官加薪。
222121,36,明夷,地火,明夷卦表示火入坑中，陽氣被陰氣傷害，甚至是可解讀被小人重傷。最近可能諸事都不順，應該要以明哲保身為重，平安度過這段困難期間為上。,逆勢下降，時運未濟，物事勞苦，逢小人加害，光明受到掩蔽而失光明，所以多艱難之運也。有萬事阻滯，遇事迷惑、受災。故宜守貞固之道，忍耐自重，等待時機。,有被背叛拋棄之象，未能被對方接受，不成也，而且受傷很深重。,日下無希望，須再待時，需防被騙、失財、失身。,表現未能達到目標，仍需要努力，等時間成熟才會離成功更近，繼續加油。無望。,情勢動亂，凡事退避，明哲保身。
112121,37,家人,風火,家人卦表示同為一家人，也代表要你事事以家人為重之意，和一家人合作為佳。另外也是在提醒你要常常反躬自省，將自己的份內事、本分處理好，之後便能有順利的事態發展。,平安無事，且有喜事之象，與家人共事者大利。,有情人終成眷屬。,會有良好機會，要保握，不要失去機會。,成績可達目標，上榜有名，努力有成果。,應當管理好自己部門內，或是自己職務上的事，諸事自然順利，水到渠成。
121211,38,睽,火澤,睽卦表示乖危、叛逆、背離之象。最近你可能常常與人意見不合、不協調，進而產生爭鬥。近期也有可能有被出賣的危險，留意身邊可能有小人。不過，人與人之間有不同的意見並不見得是壞事，學習包容異己，從別人身上學習到自己沒有的東西是個提升自身價值的好方法。,水火不相容，則氣運不通，勢行低落，諸事難成。凡事有違叛之時，若能處變不驚，不逞強出頭，尚可轉危為安。有家內不和，親友疏散之情。宜力持溫和，忍耐去克服困難，始可渡危。,彼此間無意向，無望也。,目前阻礙較多，不容易心想事成，挑戰嚴峻，成功較不容易。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。落榜。,孤軍奮戰。可以做小事，無法做大事。
212122,39,蹇,水山,蹇（ㄐㄧㄢˇ）卦表示難以行走，前方困難重重。最近不管做什麼都可能會不太順利，建議不要強行，否則會有危險。此時雖然讓人無奈，但建議您要堅持住，等待機會，總會有苦盡甘來的時候。,衰運，多災難，進退兩難之處境，要自重而不可妄動，此時應守正道待時也。凡事雜亂，更防小人之害，絕不可涉險境，否則災害必至。,困境重重，情緣有破，捨棄難定之際。然此卦主破象。,時機尚未成熟，容易遇挫，繼續努力，等候時機。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。落榜。,事情窒礙難行，應當知難而退，重新閉關學習成長。
221212,40,解,雷水,解卦表示解決的意思。這陣子即將邁入困難的尾端，建議你此時要積極主動，不要拖延，馬上解決將會讓你順心順利。,順勢而行，速把握良機、堅持努力，快速處理可成。貴人在遠方，有助，宜出外營謀。大運在西南。,不用猶豫，堅持可成。,會有貴人相助，要善用這力量來幫助自己的職涯選擇。,題榜在望小成。,任何問題都要掌握時機盡快做決定，馬上解決。
122211,41,損,山澤,損卦表示小有損失。不過塞翁失馬，焉知非福？可能眼前會有些許的挫折，但若你能將眼光放遠，暫時小小犧牲一下，之後就能有很好的結果。,諸事不如意，若傾於利慾不當之心則有災，散財之損。必須能夠悟其所損，方能挽回局勢。與人共事商量則可收損失之象。,以誠信可以成功，可得良緣，但此卦女者卜得有較大的損失。,勿急，自己的實力需要時間可慢慢受重用，不需要過於緊張與壓力。,多努力，榜上可題名。,宜犧牲個人以成就長官，放長線釣大魚。
112221,42,益,風雷,益卦表利益、好處，不過這裡說的利益是屬於長久累積的利益。因此，持續努力上進是讓自己通往成功道路的不二法門，而近期會有貴人相助，好好把握！,乘盛吉之運，可得他人之助而諸事順暢，家業有成。大致吉利之運也。,相成相益，可成良緣。,正是大好時機，朝自己方向前進，不要錯過這時間點。,成績優良，父母有喜悅之象。,積極投入工作，多找成長機會，自我充實，將有益於未來升遷。
211111,43,夬,澤天,夬（ㄍㄨㄞˋ）卦可以表示決定或者示缺失，因此是個吉凶未明的卦。這個卦是在提醒你，手上擱著的事情不要再拖延了，若能果斷處理就沒事。但如果依然故我，將會讓事態惡化，讓自己招來禍害。,日前雖然鴻運當頭，終會遇到困難與危險，凡事不可輕舉妄動，宜隨時警惕自己，留心意外災害。住所可能會有變動，亦有文書、契約之失利，易生錯誤。慎勿傲氣或自以為是，不謙和者定有災。,男人不專情之象，乃孽緣也。,會有困難，不容易馬上得到好職位。仍需再努力與等待時間成熟。,成績未達理想，別氣餒，要繼續努力。,有人事鬥爭問題。可以的話以施恩來攏絡人心，殺手?也會傷到自己。
111112,44,姤,天風,姤（ㄍㄡˋ）卦表示邂逅、不期而遇，會有預料之外的事情發生，不過是好事還是壞事就不一定了。即便是好事，也要記得只是一時的運氣，不能成為長久之計。此外，這個卦是屬於女人的卦，對於男生而言諸事不宜，或者必須聽命於女子，而女子則可掌控局面。,陰長陽衰，男人傾防因色受禍，諸事不如意，不能上進，沉於女色之凶象也。凡事進取宜慎重。,男女對象均不理想，有第三者出現，因而徒勞無功，會離散。,目前阻礙較多，不容易心想事成，挑戰嚴峻，成功較不容易。,成績未達理想，別氣餒，要繼續努力。,偶爾的運氣。女子事業大吉，男子則聽命於女子。
211222,45,萃,澤地,萃卦表示精華聚集之意，適合做聚集人氣、炒知名度的事情。這個卦也是在提醒你可以集合眾人之力解決事情，或者是提醒你用人方面需要再重新安排挑選。,昌隆，得信於人，承上輩照顧，事業吉昌，但宜小心財務上的糾紛。,可達成其願望。,順利完成目標，達成理想，有成就。,表現平穩，持續努力，能讓佳績維持，付出更多會更有好表現。常保佳績。,適於行銷、廣告活動。
222112,46,升,地風,升卦表示一種乘風而起的意象，有越來越好的趨勢。不過成長原先就是緩慢而需要時間的，但只要耐心等候，總有一天事情是可成的。這段時間可以做一些計畫，但還不能夠執行，要等一段時間以後再說，另外，若能找到貴人相助，可以加快事情的進展。,諸事向上發展，開運之象，南方有吉慶，可名利雙收也。,不宜過急，慢慢追求可成。,往這方向努力，有成果與助益。有利。,成績有進步，要持續努力會有更好的表現成果。進步。進取有利。,腳踏實地可以穩定成長，若找到貴人提攜，則可加快晉升。
211212,47,困,澤水,困卦表示被很大的困難困住了。這時候適合靜待時機，不要輕舉妄動，才不會被禍害所傷。近期宜謹言慎行，否則不只言多必失，也很可能引來羞辱。,不如意，被小人欺，勞而無功，破損之災。一事難成，運衰也。宜守己待時。,失敗之象，難成氣候。,不得時亦不得意，再待時機。,表現尚未達目標，仍要努力，加油。不理想。,窮困潦倒，有破產甚至負債的危險。
212112,48,井,水風,井卦表示小水源，具有格局小卻能過活之心態。井水能養人度日，但不能進行種植，顯示心力很有限，這時候不能做太大的計畫。這時候的視野也非常侷限，因此凡事不要太衝，以免落入陷阱當中。,缺乏衡力，因井為靜而不能移之物。故凡事已無法進取，不如守之泰然。,任其自然發展，但情況不怎麼好，有破裂之相。,安於本份，換新的工作也是小工作。,結果尚可接受，但若期望有更好的表現，需要投入更多心血。,培養好自己的專業能力，日積月累自然可成。
211121,49,革,澤火,革卦表示改革、革新，此卦吉凶未定。情況雖不穩定，但只要有心改變，重新再來則成功機會大。不可固執不知變通，如果自己不革新，守舊不變，那就會變成別人來改變，自身將會被取代。,不穩定，多變化之際，凡事均有所變動，故需棄腐朽而立新者，宜下決心改革。但仍須謹慎改革之道，善改則吉，惡改則凶。,去者已矣。凡事均有新的開始，迎新為宜。,不可守舊，改變職事有利之時機也。宜速把握良機。,表現會越來越好，等待時機成熟，便可達到理想目標。,有人事惡鬥不和的情況。變革為吉。
121112,50,鼎,火風,鼎卦表示三足而立，三人而行，平穩之勢。雖然諸事可在平穩中發展，但是需要養賢、創新、以及耳聰目明，最怕的就是守舊不變。,能解決困難，取得事物之穩定而名利雙收，會有不錯的成就，最好新找外人來共事、合夥。,吉中帶凶，外表平穩順利，可能另有第三者的介入，且在暗中發展不易被發現，需小心或心裡有準備。,成功機會大，有長輩提拔。,可以達到理想目標或結果，會上榜。登科上榜。,大吉，有得權之象。
